id;title;message;description;is_active;created;updated
1;Maine;../fake-data/blob/hipster.txt;open-source;false;2022-04-06T13:56:20;2022-04-06T15:05:26
2;optical;../fake-data/blob/hipster.txt;Grove York Intelligent;false;2022-04-06T14:18:59;2022-04-07T06:16:18
3;Key red;../fake-data/blob/hipster.txt;Functionality Movies;true;2022-04-06T11:37:36;2022-04-07T01:02:46
4;Account Ports;../fake-data/blob/hipster.txt;wireless;false;2022-04-06T17:51:25;2022-04-06T20:57:29
5;Operations group Accounts;../fake-data/blob/hipster.txt;Automotive;false;2022-04-06T14:17:22;2022-04-07T09:21:07
6;Soap Granite California;../fake-data/blob/hipster.txt;wireless user-centric Focused;true;2022-04-07T04:22:10;2022-04-06T18:26:02
7;Lek Mexico;../fake-data/blob/hipster.txt;Station users;true;2022-04-06T20:14:48;2022-04-07T03:37:53
8;Cambridgeshire Re-contextualized Orchestrator;../fake-data/blob/hipster.txt;Paradigm;false;2022-04-06T19:29:14;2022-04-07T10:10:12
9;Strategist;../fake-data/blob/hipster.txt;Incredible SAS;false;2022-04-06T16:18:59;2022-04-06T19:49:33
10;Shoes Home Account;../fake-data/blob/hipster.txt;XML 5th;true;2022-04-06T17:34:15;2022-04-06T10:22:05
